Id,Name,Type,Address
c4cc443c-dae0-484d-8fb5-106942aafd3a,탐앤탐스,노원 5호점,서울 북구 72로 58
8b10bd36-bd03-4de7-96e1-ec25fb2cb301,컴포즈커피,도봉 5호점,전북 영도구 47로 178
24b0e269-6ea7-439d-bac3-ec154dff1ed1,컴포즈커피,구로 3호점,경북 관악구 22로 168
0c8f5495-4767-4a04-a8fd-10ae9640ed14,하삼동커피,성동 3호점,강원 과천시 71로 72
b3bba599-4bae-4c2e-a05b-bd8a46fb7223,그라찌에,광명 4호점,부산 서초구 54로 167
55b1b799-e557-4647-8d28-b383f52ae4c5,매머드커피,남 4호점,경북 포천시 59로 192
79bbef86-8cc0-456c-9d12-a10e97b0cb5b,셀렉토커피,광진 4호점,광주 도봉구 93로 198
a8c595be-6376-42b3-900d-fd2460a58ed3,컴포즈커피,과천 3호점,인천 서구 35로 191
ffeb5a0e-a898-4caa-8793-52d7c52c9bf8,달콤커피,안양 2호점,울산 은평구 48로 95
88ceed44-af71-4d0e-89df-9ec2e7ef8a60,투썸플레이스,광명 5호점,제주 김포시 15로 33
0166000e-0e57-45d2-a7dd-8d6f9d8ca9a5,커피빈,가평 3호점,서울 용산구 75로 198
7b306659-0199-445d-b90a-4cf53cf1f61f,커피베이,부천 4호점,전북 용인시 19로 50
177d6dcd-7ee4-4f9e-a745-84391721fc8f,메가커피,김포 5호점,부산 동구 51길 23
e50e1f65-641d-45ae-9f5f-4444a68e5e50,셀렉토커피,안산 5호점,세종 군포시 89로 55
76a8213c-6635-4417-a7f8-2a1aa657a57c,탐앤탐스,서대문 5호점,대전 이천시 64길 90
2addc4b5-2f7f-42b6-b9b0-c1f3645fa072,달콤커피,사상 1호점,광주 연제구 96로 16
10144151-c0ee-4f89-b0ac-89268f9cfa82,파스쿠찌,구로 3호점,강원 북구 75로 58
642356cf-00f3-47c0-a5a5-3f96058bc187,더밴티,중 3호점,서울 이천시 62로 186
498dc263-1585-4956-bc63-5b8fb67b2dc2,카페베네,오산 3호점,전북 동두천시 92로 166
a119a0a5-febc-46c9-95f2-5e77da34e288,커피나무,파주 1호점,전남 동구 15로 32
282944ba-1894-412d-9702-3e50c26c6f76,커피마마,성동 3호점,인천 중구 64길 59
d29e1f99-0670-4a40-bb08-2d3fdfd82805,메가커피,연천 1호점,부산 안산시 48로 196
856458d6-a997-49c4-a3fa-72f61db4003b,하삼동커피,광명 3호점,충남 부천시 7로 18
85cb9c96-4d4b-431d-9fc4-71e287435c9e,셀렉토커피,남 4호점,서울 안성시 98로 56
f8a3769c-3c01-40cc-ad2e-2183cb2ca16a,커피스미스,구리 3호점,경북 강동구 60길 48
1366e61c-998c-4869-a891-094c79f7d933,엔제리너스,오산 2호점,전북 광명시 1로 88
bf8251ab-e64c-400e-9b8e-d191d149ea7e,커피명가,동 4호점,전북 성북구 21로 149
cfa0c22a-b415-4edd-be99-3f2c3d361ef8,커피에반하다,북 1호점,울산 포천시 9길 126
3ec109b4-cf4a-4a1c-a833-e16e52cf25d1,하삼동커피,수영 3호점,충북 연천군 77길 142
5d3aa931-66b1-46fc-8f7e-60f7d2cceba0,폴바셋,군포 4호점,울산 구로구 55길 197
aeaccb57-3eee-4153-bfbd-5bbd1803446d,셀렉토커피,영등포 4호점,전남 사상구 94길 73
6e0616c9-876f-47eb-97cc-f7ec5e43af73,커피마마,구로 3호점,경북 부천시 52길 22
780a7d17-85e9-487b-9120-25fa5dadafd9,드롭탑,가평 2호점,서울 광명시 17길 159
d42c7f7c-1226-4312-885c-28b98f9de61d,엔제리너스,사하 5호점,경기 종로구 68로 56
78b9509f-029c-4520-8ef9-b6c42f17b8a1,카페베네,강서 5호점,서울 은평구 19길 146
16396407-fd2b-42f9-815d-734201808ff7,만랩커피,파주 3호점,서울 금정구 67길 183
90f41a57-0360-4a79-8d8b-ba58ac391180,할리스,동대문 1호점,강원 동구 61로 97
b98db7e5-d8e9-4e5b-b11a-19539caf9bb8,커피스미스,양평 1호점,대구 성남시 99길 23
67610820-f1e5-4ba9-b73e-001fd7c5d3a1,하삼동커피,고양 2호점,전남 시흥시 14로 169
8c1e91da-b537-4ef8-8649-694cb319bf18,하삼동커피,사상 3호점,전남 용산구 71길 178
45405782-39c6-41f2-893d-9f5c7af9622c,드롭탑,부천 3호점,서울 사하구 94길 158
987ae24b-f07d-4678-bedc-1fe351396d29,더밴티,파주 5호점,충북 종로구 90길 14
ea214e87-337a-48d9-bb5c-9cac5f991d7f,커피나무,양주 4호점,강원 남양주시 91길 165
4c6f0893-5ee0-4b8b-a33d-a8a9d258172c,커피베이,강서 1호점,충남 이천시 88길 80
28f924ab-a664-4884-96d9-efa8186975ef,스타벅스,화성 4호점,광주 광주시 2길 199
865d6667-ddc6-472b-bd3d-400f9f99319c,폴바셋,서초 4호점,경기 남구 87로 182
6f21adbb-c725-4f67-a70a-9e6dd1776e8b,파스쿠찌,고양 5호점,대구 영도구 51로 191
27d78f78-2fac-4787-999b-709b78ce6d69,할리스,수원 1호점,울산 중구 55로 102
f5f63d54-54b4-4294-b6dc-721b81454008,커피스미스,광진 5호점,충남 중구 83로 131
5386fa3f-e85f-44e0-904c-00cf3c325bcb,파스쿠찌,구리 1호점,부산 중구 29로 30
b4b030fe-2275-4e7e-86b0-917c5fa91182,커피베이,광명 5호점,서울 광진구 15로 151
125980d4-8363-4ee0-85b9-5a7a685d7e26,더카페,강서 2호점,전북 이천시 15로 154
d4e80c63-f42e-4de9-8e5d-80ab6a9d4bcc,커피스미스,화성 3호점,세종 강서구 87길 175
8b76784d-09ea-4fff-8eff-e2c0a6a89f5b,매머드커피,송파 3호점,충남 평택시 55로 195
1e97117e-c78b-4476-be68-61b6ccd543db,커피스미스,강동 5호점,대구 안성시 79길 91
0d07afd7-c15b-4c13-8916-67ae3c2c6f7a,더카페,금정 1호점,전북 양평군 69길 71
2c0f4c33-0072-4e44-8d46-2c1b96550d04,이디야,성북 1호점,전남 영등포구 95길 134
79379d6b-c7f5-4130-8a83-026c8e3930e4,만랩커피,북 4호점,경북 강북구 17로 103
39cb982e-f482-4389-b4b9-e167cf62f66d,드롭탑,용인 1호점,광주 남구 70로 113
46983782-677a-423b-b3e6-69b8fafa3deb,커피에반하다,안산 5호점,세종 양평군 81로 146
ef4f29d4-41a2-4091-b76c-4decf99028a7,커피빈,도봉 4호점,충북 여주시 15로 105
df3cc311-4111-4cdb-a3cc-ab564552edd3,커피에반하다,화성 3호점,부산 안산시 68로 99
434a8f1a-4998-48d7-a688-7858a7252a4b,투썸플레이스,해운대 3호점,세종 동두천시 77길 32
d67f5eef-802b-4d27-a33d-2f14042e4eb4,커피마마,가평 1호점,충북 안성시 19길 58
a84a78c0-a984-4996-978d-6c437a874400,커피명가,금천 2호점,부산 송파구 19길 186
6a67f3d4-26f5-4b19-87ff-2be839b88dd2,셀렉토커피,강북 3호점,서울 가평군 73로 117
347ac662-1808-4cd3-aa55-eb20c4851fd6,컴포즈커피,포천 5호점,서울 성동구 51길 122
d68e7ea5-d8e5-44fb-890a-42f5964e05bc,커피명가,서초 1호점,강원 북구 90로 33
82cdbe26-c183-4478-965d-d292bcea6bad,투썸플레이스,여주 1호점,강원 마포구 59길 8
55d82074-1d05-4f25-ba9b-e3cb2d38ecec,더밴티,서대문 1호점,경북 광진구 86로 156
6bd370cd-4609-446c-8d68-4d4bebe9b1e8,파스쿠찌,광명 5호점,제주 이천시 92로 62
