Id,Name,Type,UnitPrice
1271e64e-1291-464e-9bb8-b5b0e65d04a3,Bakery,플레인스콘,3500
cc3db8db-cee5-46a5-8ff7-cfb29499648a,Coffee,에스프레소,3500
49581a65-e45c-43bc-bcce-791af3b87f18,Bakery,초코스콘,3800
de8e1b7c-22ef-4027-9e06-e52c842e14ec,Coffee,아메리카노,4000
d3932aab-b4db-4f79-9fe2-f482db6ff4ed,Coffee,아몬드라떼,5000
faabf6cc-2887-448c-97b7-4534100defd5,Bakery,비스킷슈,3000
f5af15b5-3105-4241-8e49-6598eccfd5e2,Bakery,크룽지,3500
701258a9-6fc0-4d56-a6a4-fe1cc3abdeaa,Coffee,카페라떼,4500
1b321e06-2d36-480c-8423-5f04c60d2df9,Coffee,아인슈패너,5500
7ed7fe76-6607-4789-a77b-c78dfd829a61,Coffee,아몬드라떼,5000
